,salary_low,salary_high
329,9.0,18.0
330,15.0,22.0
331,8.0,15.0
332,27.0,36.0
333,35.0,45.0
334,20.0,40.0
335,20.0,40.0
336,16.0,32.0
337,25.0,35.0
338,15.0,30.0
339,10.0,17.0
340,15.0,30.0
341,25.0,50.0
342,9.0,13.0
343,18.0,36.0
344,10.0,20.0
345,10.0,20.0
346,25.0,35.0
347,18.0,25.0
348,15.0,30.0
349,18.0,36.0
350,10.0,12.0
351,20.0,40.0
352,9.0,12.0
353,12.0,24.0
354,19.0,28.0
355,10.0,20.0
356,15.0,20.0
357,15.0,30.0
358,15.0,25.0
359,30.0,60.0
360,15.0,25.0
361,10.0,18.0
362,9.0,15.0
363,12.0,20.0
364,20.0,40.0
365,20.0,30.0
366,10.0,16.0
367,20.0,40.0
368,12.0,18.0
369,20.0,30.0
370,15.0,30.0
371,13.0,23.0
372,20.0,40.0
373,15.0,30.0
374,15.0,25.0
375,15.0,25.0
376,14.0,25.0
377,25.0,35.0
378,15.0,30.0
379,15.0,25.0
380,15.0,30.0
381,8.0,13.0
382,15.0,30.0
383,15.0,30.0
384,25.0,45.0
385,13.0,25.0
386,18.0,33.0
387,15.0,25.0
388,15.0,25.0
389,20.0,35.0
390,25.0,40.0
391,7.0,9.0
392,20.0,40.0
393,12.0,20.0
394,10.0,17.0
395,10.0,17.0
396,8.0,14.0
397,15.0,25.0
398,10.0,20.0
399,20.0,35.0
400,12.0,20.0
401,10.0,15.0
402,9.0,15.0
403,20.0,40.0
404,20.0,40.0
405,12.0,24.0
406,15.0,30.0
407,14.0,20.0
408,10.0,20.0
409,7.0,13.0
410,12.0,20.0
411,15.0,25.0
412,12.0,16.0
413,9.0,14.0
414,8.0,15.0
415,8.0,15.0
416,8.0,15.0
417,20.0,30.0
418,15.0,30.0
419,6.0,12.0
420,17.0,25.0
421,10.0,18.0
422,15.0,30.0
423,10.0,14.0
424,14.0,28.0
425,15.0,30.0
426,15.0,30.0
427,6.0,12.0
428,15.0,25.0
429,10.0,18.0
430,10.0,20.0
431,10.0,20.0
432,20.0,40.0
433,25.0,50.0
434,10.0,15.0
